dataset,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,median_ig_fraction,n_classified_secretory,proportion_of_candidates,proportion_of_classified,proportion
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Mucous_glandular,5,3671,0.0,3671,0.001362026695723236,0.001362026695723236,0.001362026695723236
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327,3671,0.0,3671,0.6338872241895941,0.6338872241895941,0.6338872241895941
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Surface_club,2,3671,0.000427715996578272,3671,0.0005448106782892945,0.0005448106782892945,0.0005448106782892945
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Transitional_secretory,767,3671,0.0,3671,0.20893489512394442,0.20893489512394442,0.20893489512394442
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Ambiguous_secretory,38,611,0.0003266199174568266,611,0.062193126022913256,0.062193126022913256,0.062193126022913256
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Goblet,4,611,0.001385916002262958,611,0.006546644844517185,0.006546644844517185,0.006546644844517185
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Inflammatory_secretory,20,611,0.0004087118718455124,611,0.03273322422258593,0.03273322422258593,0.03273322422258593
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Mucous_glandular,6,611,0.0003479471120389701,611,0.009819967266775777,0.009819967266775777,0.009819967266775777
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427,611,0.00013807704699222165,611,0.6988543371522095,0.6988543371522095,0.6988543371522095
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Surface_club,1,611,0.0,611,0.0016366612111292963,0.0016366612111292963,0.0016366612111292963
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Transitional_secretory,115,611,0.00015733165512901197,611,0.18821603927986907,0.18821603927986907,0.18821603927986907
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Ambiguous_secretory,78,1330,0.00014726936551495343,1330,0.058646616541353384,0.058646616541353384,0.058646616541353384
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Goblet,37,1330,0.0001097574360662935,1330,0.027819548872180452,0.027819548872180452,0.027819548872180452
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Inflammatory_secretory,759,1330,0.00012026458208057727,1330,0.5706766917293233,0.5706766917293233,0.5706766917293233
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Mucous_glandular,0,1330,,1330,0.0,0.0,0.0
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339,1330,0.00011742602160638798,1330,0.2548872180451128,0.2548872180451128,0.2548872180451128
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Surface_club,2,1330,0.000661554266739252,1330,0.0015037593984962407,0.0015037593984962407,0.0015037593984962407
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Transitional_secretory,115,1330,0.00017346053772766696,1330,0.08646616541353383,0.08646616541353383,0.08646616541353383
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Ambiguous_secretory,12,202,0.0,202,0.0594059405940594,0.0594059405940594,0.0594059405940594
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Goblet,0,202,,202,0.0,0.0,0.0
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Inflammatory_secretory,23,202,0.0,202,0.11386138613861387,0.11386138613861387,0.11386138613861387
