library,direction,term,overlap,query_size,term_size,p,genes,fdr
Reactome_2024,up,RNA Polymerase II HIV Promoter Escape,6,2300,45,0.6789818016723871,ERCC3;GTF2E2;GTF2H5;POLR2H;POLR2I;TAF6,0.9999999999999972
Reactome_2024,up,RNA Polymerase II Promoter Escape,6,2300,45,0.6789818016723871,ERCC3;GTF2E2;GTF2H5;POLR2H;POLR2I;TAF6,0.9999999999999972
Reactome_2024,up,RNA Polymerase II Transcription Initiation,6,2300,45,0.6789818016723871,ERCC3;GTF2E2;GTF2H5;POLR2H;POLR2I;TAF6,0.9999999999999972
Reactome_2024,up,RNA Polymerase II Transcription Initiation And Promoter Clearance,6,2300,45,0.6789818016723871,ERCC3;GTF2E2;GTF2H5;POLR2H;POLR2I;TAF6,0.9999999999999972
Reactome_2024,up,RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,6,2300,45,0.6789818016723871,ERCC3;GTF2E2;GTF2H5;POLR2H;POLR2I;TAF6,0.9999999999999972
Reactome_2024,up,SUMOylation of DNA Replication Proteins,6,2300,45,0.6789818016723871,NDC1;NUP133;NUP50;NUP93;PCNA;PIAS3,0.9999999999999972
Reactome_2024,up,Sensory Processing of Sound by Inner Hair Cells of the Cochlea,6,2300,45,0.6789818016723871,CACNA1D;CLIC5;ESPN;MYO15A;MYO3A;PLS1,0.9999999999999972
Reactome_2024,up,Assembly of the Pre-Replicative Complex,10,2300,74,0.6799648667767919,ANAPC10;CDC16;CDC26;CDT1;MCM2;PSMA4;PSMA5;PSMB5;SEM1;UBE2C,0.9999999999999972
Reactome_2024,up,Hedgehog 'On' State,9,2300,67,0.6833275250359319,ARRB1;ARRB2;EFCAB7;GAS8;PSMA4;PSMA5;PSMB5;RBX1;SEM1,0.9999999999999972
Reactome_2024,up,Keratinization,5,2300,38,0.6870004365798899,CAPNS1;CSTA;EVPL;KAZN;TGM1,0.9999999999999972
Reactome_2024,up,Regulation of Ornithine Decarboxylase (ODC),5,2300,38,0.6870004365798899,NQO1;PSMA4;PSMA5;PSMB5;SEM1,0.9999999999999972
Reactome_2024,up,Transcriptional Regulation by VENTX,5,2300,38,0.6870004365798899,AGO4;ANAPC10;CDC16;CDC26;UBE2C,0.9999999999999972
Reactome_2024,up,Translesion Synthesis by Y Family DNA Polymerases Bypasses Lesions on DNA Template,5,2300,38,0.6870004365798899,PCNA;POLD3;POLI;RFC5;RPA3,0.9999999999999972
Reactome_2024,up,Processing of DNA Double-Strand Break Ends,8,2300,60,0.6875735779006329,BRCA1;CCNA2;PPP4C;RFC5;RMI1;RMI2;RPA3;UBE2V2,0.9999999999999972
Reactome_2024,up,TP53 Regulates Transcription of DNA Repair Genes,8,2300,60,0.6875735779006329,BRCA1;DDB2;ERCC3;FANCI;GTF2H5;POLR2H;POLR2I;RAD51D,0.9999999999999972
Reactome_2024,up,Transcriptional Regulation by TP53,48,2300,341,0.6884743512744897,AGO4;BCL2L14;BRCA1;CARM1;CASP2;CCNA2;CCNB1;CDK1;CDK5;CNOT6;COX5A;COX6A1;COX6B2;COX7A2;DDB2;E2F1;E2F7;ERCC3;FANCI;GPX2;GTF2H5;MAP2K6;MAPK14;NUAK1;PCNA;PIDD1;PIN1;POLR2H;POLR2I;PRDX1;RABGGTA;RAD51D;RFC5;RMI1;RMI2;RPA3;RRAGA;RRM2B;SLC38A9;SMYD2;STEAP3;TAF6;TP53AIP1;TP53INP1;TP73;TTC5;USP2;ZNF385A,0.9999999999999972
Reactome_2024,up,DNA Replication Pre-Initiation,12,2300,89,0.6905933272403856,ANAPC10;CDC16;CDC26;CDT1;MCM2;PRIM2;PSMA4;PSMA5;PSMB5;RPA3;SEM1;UBE2C,0.9999999999999972
Reactome_2024,up,Cytoprotection by HMOX1,7,2300,53,0.6930024458453121,ABCC1;BLVRA;CARM1;COX5A;COX6A1;COX6B2;COX7A2,0.9999999999999972
