dataset,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,median_ig_fraction,n_classified_secretory,proportion_of_candidates,proportion_of_classified,proportion,classification_coverage,logit_candidate_fraction
GSE235711,HC_1,Healthy,Ethmoid,Mucous_glandular,7,2442,0.0,2442,0.0028665028665028,0.0028665028665028,0.0028665028665028,1.0,-5.783004332704333
GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847,2442,0.0,2442,0.7563472563472563,0.7563472563472563,0.7563472563472563,1.0,1.1321872640270023
GSE235711,HC_1,Healthy,Ethmoid,Surface_club,109,2442,0.0,2442,0.0446355446355446,0.0446355446355446,0.0446355446355446,1.0,-3.059200016133315
GSE235711,HC_1,Healthy,Ethmoid,Transitional_secretory,305,2442,0.0,2442,0.1248976248976249,0.1248976248976249,0.1248976248976249,1.0,-1.9454424221992654
GSE235711,HC_2,Healthy,Ethmoid,Ambiguous_secretory,52,1064,0.0,1063,0.0488721804511278,0.0489181561618062,0.0489181561618062,0.9990601503759399,-2.959364629383116
GSE235711,HC_2,Healthy,Ethmoid,Goblet,10,1064,0.0,1063,0.0093984962406015,0.0094073377234242,0.0094073377234242,0.9990601503759399,-4.609446742755352
GSE235711,HC_2,Healthy,Ethmoid,Inflammatory_secretory,8,1064,0.0,1063,0.0075187969924812,0.0075258701787394,0.0075258701787394,0.9990601503759399,-4.82265067355984
GSE235711,HC_2,Healthy,Ethmoid,Mucous_glandular,16,1064,6.694471036371061e-06,1063,0.0150375939849624,0.0150517403574788,0.0150517403574788,0.9990601503759399,-4.1517554694354395
GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792,1064,0.0,1063,0.7443609022556391,0.7450611476952023,0.7450611476952023,0.9990601503759399,1.0675538916481369
GSE235711,HC_2,Healthy,Ethmoid,Surface_club,60,1064,0.0,1063,0.056390977443609,0.0564440263405456,0.0564440263405456,0.9990601503759399,-2.8096018192181935
GSE235711,HC_2,Healthy,Ethmoid,Transitional_secretory,125,1064,0.0,1063,0.1174812030075188,0.1175917215428033,0.1175917215428033,0.9990601503759399,-2.0130420602816814
GSE235711,HC_3,Healthy,Ethmoid,Ambiguous_secretory,44,1009,0.0,1009,0.043607532210109,0.043607532210109,0.043607532210109,1.0,-3.0771569126963745
GSE235711,HC_3,Healthy,Ethmoid,Goblet,4,1009,0.0003148614609571,1009,0.0039643211100099,0.0039643211100099,0.0039643211100099,1.0,-5.409162812436433
GSE235711,HC_3,Healthy,Ethmoid,Inflammatory_secretory,14,1009,5.246589716684155e-05,1009,0.0138751238850346,0.0138751238850346,0.0138751238850346,1.0,-4.229096474077722
GSE235711,HC_3,Healthy,Ethmoid,Mucous_glandular,13,1009,0.0,1009,0.0128840436075322,0.0128840436075322,0.0128840436075322,1.0,-4.301559454208466
GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680,1009,0.0,1009,0.6739345887016849,0.6739345887016849,0.6739345887016849,1.0,0.7252514681489591
GSE235711,HC_3,Healthy,Ethmoid,Surface_club,17,1009,0.0,1009,0.0168483647175421,0.0168483647175421,0.0168483647175421,1.0,-4.038026131631877
GSE235711,HC_3,Healthy,Ethmoid,Transitional_secretory,237,1009,0.0,1009,0.2348860257680872,0.2348860257680872,0.2348860257680872,1.0,-1.1794643852972049
GSE235711,HC_4,Healthy,Ethmoid,Ambiguous_secretory,29,1022,0.0001354401805869,1021,0.0283757338551859,0.0284035259549461,0.0284035259549461,0.9990215264187867,-3.5168437986460974
GSE235711,HC_4,Healthy,Ethmoid,Goblet,4,1022,0.0001482799525504,1021,0.0039138943248532,0.0039177277179236,0.0039177277179236,0.9990215264187867,-5.422008838890586
GSE235711,HC_4,Healthy,Ethmoid,Inflammatory_secretory,3,1022,0.0,1021,0.0029354207436399,0.0029382957884427,0.0029382957884427,0.9990215264187867,-5.674304621519142
GSE235711,HC_4,Healthy,Ethmoid,Mucous_glandular,38,1022,8.645154656226846e-05,1021,0.0371819960861056,0.0372184133202742,0.0372184133202742,0.9990215264187867,-3.2414756567854415
GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816,1022,7.312213343873037e-05,1021,0.7984344422700587,0.7992164544564153,0.7992164544564153,0.9990215264187867,1.374726500009432
GSE235711,HC_4,Healthy,Ethmoid,Surface_club,46,1022,0.0,1021,0.0450097847358121,0.0450538687561214,0.0450538687561214,0.9990215264187867,-3.044522437723423
GSE235711,HC_4,Healthy,Ethmoid,Transitional_secretory,85,1022,0.0,1021,0.0831702544031311,0.0832517140058766,0.0832517140058766,0.9990215264187867,-2.3947003819018513
GSE235711,HC_5,Healthy,Ethmoid,Ambiguous_secretory,9,319,0.0,319,0.0282131661442006,0.0282131661442006,0.0282131661442006,1.0,-3.4868921027670385
GSE235711,HC_5,Healthy,Ethmoid,Goblet,3,319,0.0,319,0.0094043887147335,0.0094043887147335,0.0094043887147335,1.0,-4.504560273088863
GSE235711,HC_5,Healthy,Ethmoid,Inflammatory_secretory,0,319,,319,0.0,0.0,0.0,1.0,-6.459904454377535
GSE235711,HC_5,Healthy,Ethmoid,Mucous_glandular,8,319,0.0,319,0.0250783699059561,0.0250783699059561,0.0250783699059561,1.0,-3.601333174731237
GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242,319,0.0,319,0.7586206896551724,0.7586206896551724,0.7586206896551724,1.0,1.1407237740182365
GSE235711,HC_5,Healthy,Ethmoid,Surface_club,25,319,0.0,319,0.0783699059561128,0.0783699059561128,0.0783699059561128,1.0,-2.446600550927261
GSE235711,HC_5,Healthy,Ethmoid,Transitional_secretory,32,319,0.0,319,0.1003134796238244,0.1003134796238244,0.1003134796238244,1.0,-2.1799827709017134
GSE261706,AR1,AR,Inferior_turbinate,Ambiguous_secretory,436,8789,0.0,8789,0.0496074638752986,0.0496074638752986,0.0496074638752986,1.0,-2.951647516418176
GSE261706,AR1,AR,Inferior_turbinate,Goblet,76,8789,0.0,8789,0.0086471726021162,0.0086471726021162,0.0086471726021162,1.0,-4.735338085268206
GSE261706,AR1,AR,Inferior_turbinate,Inflammatory_secretory,85,8789,0.0,8789,0.0096711798839458,0.0096711798839458,0.0096711798839458,1.0,-4.623079036356058
GSE261706,AR1,AR,Inferior_turbinate,Mucous_glandular,212,8789,0.0,8789,0.0241210604164296,0.0241210604164296,0.0241210604164296,1.0,-3.697955786368133
GSE261706,AR1,AR,Inferior_turbinate,Serous_glandular,3954,8789,0.0,8789,0.4498805324837865,0.4498805324837865,0.4498805324837865,1.0,-0.2011303651975459
GSE261706,AR1,AR,Inferior_turbinate,Surface_club,24,8789,0.0,8789,0.0027306860848788,0.0027306860848788,0.0027306860848788,1.0,-5.8799057232432475
GSE261706,AR1,AR,Inferior_turbinate,Transitional_secretory,4002,8789,0.0,8789,0.4553419046535442,0.4553419046535442,0.4553419046535442,1.0,-0.17908918861803158
GSE261706,AR2,AR,Inferior_turbinate,Ambiguous_secretory,321,5407,0.0,5407,0.0593674865914555,0.0593674865914555,0.0593674865914555,1.0,-2.761347706556129
GSE261706,AR2,AR,Inferior_turbinate,Goblet,142,5407,0.0,5407,0.0262622526354725,0.0262622526354725,0.0262622526354725,1.0,-3.6095893871119467
GSE261706,AR2,AR,Inferior_turbinate,Inflammatory_secretory,1917,5407,0.0,5407,0.3545404105788792,0.3545404105788792,0.3545404105788792,1.0,-0.5990227381690447
GSE261706,AR2,AR,Inferior_turbinate,Mucous_glandular,49,5407,0.0,5407,0.0090623266136489,0.0090623266136489,0.0090623266136489,1.0,-4.684466694578407
