source,target,cor_discovery,cor_validation,consensus_weight
RTN1,TNFSF13,0.5953295578905654,0.6541166627707523,0.6240312361221705
SSR3,LDLRAD3,0.5833984651765928,0.6673569531551404,0.6239671643569366
PIGR,LINC01554,0.6632226660565181,0.5869624983757279,0.6239285480308983
FAHD2A,SEC63,0.6429070359431471,0.6054131280760106,0.6238784815109565
OGFRL1,CEP85L,0.7145178643093733,0.5447087594579066,0.6238622760501484
GALNT13,DYNC1I1,0.6808623375256421,0.571577090642535,0.6238311582559677
NRG3,ACSL1,0.7253992304736117,0.5364282795805638,0.6237985742305159
CCDC129,IRX2,0.5627039471683816,0.6914634316535144,0.6237701518300046
ANO1,TECPR1,0.7031016732369215,0.5533605606234908,0.623753746343617
EGF,MYBPC1,0.7202896836383161,0.5398306705013658,0.6235659250421633
LIMCH1,CD46,0.5989827681926349,0.6489046007028385,0.62344420281363
KCNN4,ID2,0.5559417769363106,0.6991012064819596,0.6234256707819299
GALNT6,RASAL1,0.5505945333278447,0.7058468762847888,0.6234063132892866
ZG16B,SLC31A2,0.6327402820941934,0.6140514887328984,0.6233258475317813
CRISP3,SLAIN1,0.6121580349018154,0.6346136321593097,0.6232847134211993
MANSC1,AACS,0.6760250389926126,0.574656059538894,0.6232831499865225
NRG3,SRPRA,0.7420634950160394,0.5234328089926787,0.6232338081708744
ANO1,CADPS2,0.5732552216183241,0.6775264162232544,0.6232138925636451
PADI2,DTNB,0.7174066280021328,0.5413317479514231,0.6231813411265865
SLC37A2,ATP6V0E2,0.5696684057785464,0.6817185768460302,0.6231801784889323
SLC22A3,ID4,0.6374141782921783,0.6090864236562846,0.6230893372894389
DMBT1,KANK4,0.7588527254283662,0.5115503398316127,0.6230500538279619
GRIA2,MGLL,0.7141774305796688,0.5435143198071396,0.6230294217796776
GALNT6,FOLR1,0.6532658000851275,0.594180635127306,0.6230231841605325
SLC5A1,SLITRK5,0.6678483652933649,0.5810902294157755,0.6229608011771464
CADM1,GALNT6,0.776700593864163,0.4996250455067851,0.622943873518738
SMAD9,KIRREL3,0.5511108129437554,0.7036847550579739,0.6227425450506231
LIMCH1,C3orf70,0.6674287161572652,0.5810070280683128,0.6227204628258028
SLC22A3,SLCO1A2,0.6958397152661717,0.5572584629444709,0.6227058456325467
KANK4,ABCA3,0.6496860511709334,0.5968201608442355,0.6226923265611137
OGFRL1,GLYATL2,0.5861470337928638,0.6613827501602431,0.6226295344811337
GPAT2,SAP30BP,0.716697558096748,0.5408970663267502,0.6226231658218931
SLCO1A2,MAPT,0.5831344114863466,0.6646700350799093,0.6225688473887303
ADGRG6,OXGR1,0.6572129312751724,0.5897251396872499,0.6225552085562517
ATP2A3,SLC5A1,0.7385935666746926,0.5247153696670618,0.622536261089605
OGFRL1,OXR1,0.6971181903430925,0.5559023075048037,0.622518763263645
ODAM,TTYH1,0.7150504985201923,0.541955168451431,0.622515311760916
CHRM3,TNFRSF11A,0.6466230882707164,0.5986892720758009,0.6221947492740529
ZG16B,SLC12A2,0.6579631052658325,0.5882292930190269,0.6221199018220879
ODAM,PTH2R,0.6923727320252685,0.5589886153899277,0.622116126465587
SLC25A48,FOLR1,0.6704355204803939,0.5772276563490782,0.6220883572452327
CCDC129,BPIFB2,0.6955504389785365,0.5563116242003528,0.6220472606011686
EGF,TUSC8,0.7608866401402952,0.5084263201877625,0.6219765224882371
BPIFB2,PIGR,0.6638095654038589,0.5827185330965805,0.6219438368595795
SAP30BP,LRP6,0.6313238266564157,0.6126015140460258,0.6218922190082868
IRX2,SOX9,0.5647372594358802,0.68480929493605,0.621882082438787
TCN1,CRISP2,0.5936930488442564,0.6513760656065207,0.6218660967878147
C2orf88,ST3GAL6,0.6461939941235053,0.5983800162368412,0.6218276068942038
GLYATL2,SOX9,0.6692484686232338,0.5776506099495448,0.6217650570014447
SAP30BP,PART1,0.6882453348040958,0.5616718352080377,0.6217459451196983
MGAM2,LRP6,0.6536794448224492,0.5913622561591984,0.6217405819914732
SLC13A2,SLC43A1,0.6217333115429732,0.6217343102683932,0.6217338109054826
GALNT6,SLC43A1,0.6664870977579758,0.5799239309514402,0.621700746066966
SLC22A3,SRPRA,0.6431411653538334,0.6007947245689568,0.621607447910427
FAHD2A,DLX6-AS1,0.6720673876175038,0.5749149668011659,0.6215960101547174
CHRM1,GLYATL2,0.5695225708759247,0.6784187621961152,0.6215905385190432
SLITRK5,SOX9,0.6511728057254658,0.5933183198482461,0.6215728075003778
PLCB1,ANO1,0.6377453587692352,0.6057181946608734,0.6215255162638555
KCNN4,SNPH,0.6845261343735495,0.5641755649240826,0.6214442199952428
EGF,SOX8,0.5763124876827036,0.6701084491973925,0.6214433742298231
TCN1,DYNC1I1,0.6538063707409012,0.5905405837630472,0.6213688082333478
TCN1,GALNT6,0.7263410063774112,0.5314565637593577,0.6213040281270134
KANK4,CLDN10-AS1,0.5999126492492876,0.6432682797932465,0.6212123452643215
MANSC1,MGLL,0.5903344646910809,0.6536437867321349,0.6211831090259665
SLITRK5,ELF5,0.6412774898410767,0.6014436450394851,0.6210412796036899
C2orf88,SEC63,0.6779554805847946,0.5688973009845669,0.6210370706265325
RNF128,SLC39A8,0.604046747361478,0.6385039633883082,0.6210364258738128
F5,SMAD9,0.6460819362619902,0.5968479965406762,0.6209772212079037
CHRM1,TECPR1,0.5949610089545184,0.6478691110191901,0.6208517213976653
GALNT13,ELF5,0.6020458847399812,0.6401532111730805,0.6208072215992959
KCNN4,AGFG2,0.6956764620142111,0.5539709511803428,0.6207934852878114
SLC37A2,ALDH18A1,0.5703711264306474,0.6756039461952146,0.6207616159302659
DYNC1I1,PLA2R1,0.5533038981900592,0.6964278996728487,0.6207545986114824
SLC22A3,SEC63,0.5908199810688161,0.6521348129934134,0.6207207728657744
SLCO1A2,ST3GAL6,0.6326653317122067,0.6089687984513267,0.6207039929584733
LPO,GPD1,0.7191864089253307,0.5355785656800134,0.6206293784125823
CA2,MGLL,0.5537077420688111,0.6954849556181371,0.6205605566084151
ANO1,C6orf58,0.6775731190387614,0.5682720380550309,0.6205206340545502
TNFSF13,TMEM63A,0.5558890070565126,0.6926168332861707,0.620498254410176
ARHGEF37,CHDH,0.8283813706718495,0.46477846208782864,0.6204948182564216
CCDC129,SRPRA,0.7126856022495993,0.540158516693754,0.62045402551691
